Rubro Num.,ID,Description for Catalogue,Unit Price,Price
1,CRP-A-CC-CC-MZ,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240 cms, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo blanco tipo Calacatta en escuadra con recubrimiento en muro o semi muro. Linea y Herrajes Blum Metabox + Tira led bajo alacenas supreiores",  ," $266,895.10 "
1,CRP-A-VV-VV-MZ,"Suministro e instalación de vestidor principal en melamina en colores a escoger de 15 mm de grosor con herrajes de cierre normal y tubos colgadores cromados. Consta de una cajonera de 5 cajones con dos entrepaños de 210 cms de altura, área de colgadores dobles sin fondos. Linea y Herrajes Blum Metabox",  ," $62,517.67 "
1,CRP-A-R2-CL-MZ,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $79,812.52 "
1,CRP-A-AC-TV1-MZ,Suministro e instalación de mueble para TV bajo  en área flex o área común en melamina en color a escoger,  ," $58,236.96 "
1,CRP-A-CC-CC-V3,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240 cms, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo blanco tipo Calacatta en escuadra con recubrimiento en muro o semi muro.",  ," $204,886.50 "
1,CRP-A-VV-VV-V3,"Suministro e instalación de vestidor principal en melamina en colores a escoger de 15 mm de grosor con herrajes de cierre normal y tubos colgadores cromados. Consta de una cajonera de 5 cajones con dos entrepaños de 210 cms de altura, área de colgadores dobles sin fondos.",  ," $50,673.00 "
1,CRP-A-R2-CL-V3,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-A-AC-TV2-V3,"Suministro e instalación de centro de entretenimiento en área flex o área común en melamina en color a escoger de 15mm de grosor, con cubierta de cuarzo o vidrio.",  ," $70,889.00 "
1,CRP-B1-CC-CC-MZ,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240 cms, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo tipo Calacatta con recubrimiento en muro o semi muro y grapa en isla. Linea y Herrajes Blum Metabox + Tira led bajo alacenas supreiores",  ," $320,769.23 "
1,CRP-B1-VV-VV-MZ,"Suministro e instalación de vestidor abierto en escuadra con melamina en colores a escoger de 15 mm de grosor con herrajes de cierre suave y tubo colgador ovalado cromado. Consta de 1 cajonera de 5 cajones, y 2 áreas de colgadores dobles sin fondos en altura de 210cms y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $75,606.20 "
1,CRP-B1-R2-CL-MZ,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $79,244.96 "
1,CRP-B1-AC-TV1-MZ,Suministro e instalación de mueble para TV bajo  en área flex o área común en melamina en color a escoger,  ," $58,236.96 "
1,CRP-B1-CC-CC-V3,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240 cms, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo tipo Calacatta con recubrimiento en muro o semi muro y grapa en isla.",  ," $256,690.00 "
1,CRP-B1-VV-VV-V3,"Suministro e instalación de vestidor abierto en escuadra con melamina en colores a escoger de 15 mm de grosor con herrajes de cierre suave y tubo colgador ovalado cromado. Consta de 1 cajonera de 5 cajones, y 2 áreas de colgadores dobles sin fondos en altura de 210cms y jaladeras en modelos a escoger.",  ," $45,951.50 "
1,CRP-B1-R2-CL-V3,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-B1-AC-TV2-V3,"Suministro e instalación de centro de entretenimiento en área flex o área común en melamina en color a escoger de 15mm de grosor, con cubierta de cuarzo o vidrio.",  ," $70,889.00 "
1,CRP-B2a-CC-CC-MZ,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240 cms, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo tipo Calacatta con recubrimiento en muro o semi muro y grapa en isla. Linea y Herrajes Blum Metabox  + Tira led bajo alacenas supreiores",  ," $342,057.87 "
1,CRP-B2a-VV-VV-MZ,Suministro e instalación de vestidor principal en melamina en colores a escoger de 15 mm de grosor. Consta de 2 cajoneras de 5 cajones con dos entrepaños cada 1 y dos áreas de colgadores sin fondos en altura de 210 cms con herrajes de cierre normal y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ,  ," $120,518.80 "
1,CRP-B2a-R2-CL-MZ,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $101,199.02 "
1,CRP-B2a-FX-CL-MZ,"Flex – Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $74,797.74 "
1,CRP-B2a-FX-EL-MZ,0,  , $-   
1,CRP-B2a-AC-TV1-MZ,Suministro e instalación de mueble para TV bajo  en área flex o área común en melamina en color a escoger,  ," $58,236.96 "
1,CRP-B2a-CC-CC-V3,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240 cms, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo tipo Calacatta con recubrimiento en muro o semi muro y grapa en isla.",  ," $256,690.00 "
1,CRP-B2a-VV-VV-V3,Suministro e instalación de vestidor principal en melamina en colores a escoger de 15 mm de grosor. Consta de 2 cajoneras de 5 cajones con dos entrepaños cada 1 y dos áreas de colgadores sin fondos en altura de 210 cms con herrajes de cierre normal y jaladeras en modelos a escoger.,  ," $67,830.00 "
1,CRP-B2a-R2-CL-V3,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-B2a-FX-CL-V3,"Flex – Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-B2a-FX-EL-V3,Suministro e instalación de escritorio y librero en recámara FLEX/ESTUDIO en melamina en colores a escoger en grosor de 4cms de espesor con cubierta de cuarzo o vidrio.,  ," $69,825.00 "
1,CRP-B2a-AC-TV2-V3,"Suministro e instalación de centro de entretenimiento en área flex o área común en melamina en color a escoger de 15mm de grosor, con cubierta de cuarzo o vidrio.",  ," $70,889.00 "
1,CRP-B2b-CC-CC-MZ,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240 cms, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Linea y Herrajes Blum Metabox  + Tira led bajo alacenas supreiores",  ," $342,057.87 "
1,CRP-B2b-VV-VV-MZ,"Suministro e instalación de vestidor sencillo en melamina en colores a escoger de 15 mm de grosor con herrajes de cierre normal y tubos colgadores cromados. Consta de una cajonera de 5 cajones con dos entrepaños de 210 cms de altura, área de colgadores dobles sin fondos. Son dos áreas iguales en vestidor principal. Linea y Herrajes Blum Metabox ",  ," $120,518.80 "
1,CRP-B2b-R2-CL-MZ,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $101,199.02 "
1,CRP-B2b-FX-CL-MZ,"Flex – Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $74,797.74 "
1,CRP-B2b-FX-EL-MZ,0,  , $-   
1,CRP-B2b-AC-TV1-MZ,Suministro e instalación de mueble para TV bajo  en área flex o área común en melamina en color a escoger,  ," $58,236.96 "
1,CRP-B2b-CC-CC-V3,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240 cms, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led.",  ," $256,690.00 "
1,CRP-B2b-VV-VV-V3,"Suministro e instalación de vestidor sencillo en melamina en colores a escoger de 15 mm de grosor con herrajes de cierre normal y tubos colgadores cromados. Consta de una cajonera de 5 cajones con dos entrepaños de 210 cms de altura, área de colgadores dobles sin fondos. Son dos áreas iguales en vestidor principal.",  ," $67,830.00 "
1,CRP-B2b-R2-CL-V3,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-B2b-FX-CL-V3,"Flex – Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-B2b-FX-EL-V3,Suministro e instalación de escritorio y librero en recámara FLEX/ESTUDIO en melamina en colores a escoger en grosor de 4cms de espesor con cubierta de cuarzo o vidrio.,  ," $69,825.00 "
1,CRP-B2b-AC-TV2-V3,"Suministro e instalación de centro de entretenimiento en área flex o área común en melamina en color a escoger de 15mm de grosor, con cubierta de cuarzo o vidrio.",  ," $70,889.00 "
1,CRP-B3-CC-CC-MZ,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240 cms, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo tipo Calacatta con recubrimiento en muro o semi muro y grapa en isla. Linea y Herrajes Blum Metabox + Tira led bajo alacenas supreiores",  ," $319,639.27 "
1,CRP-B3-VV-VV-MZ,"Suministro e instalación de vestidor en escuadra en melamina de 15 mm de espesor en colores a escoger con herrajes de cierre normal y tubo colgador ovalado cromado. Consta de 2 cajoneras de 5 cajones, 1 área de colgador para largos y dos áreas de colgadores dobles de altura estándar de 210 cms de altura y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $100,229.53 "
1,CRP-B3-R2-CL-MZ,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $78,863.15 "
1,CRP-B3-ES-EL-MZ,0,  , $-   
1,CRP-B3-AC-TV1-MZ,Suministro e instalación de mueble para TV bajo  en área flex o área común en melamina en color a escoger,  ," $58,236.96 "
1,CRP-B3-CC-CC-V3,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240 cms, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo tipo Calacatta con recubrimiento en muro o semi muro y grapa en isla.",  ," $256,690.00 "
1,CRP-B3-VV-VV-V3,"Suministro e instalación de vestidor en escuadra en melamina de 15 mm de espesor en colores a escoger con herrajes de cierre normal y tubo colgador ovalado cromado. Consta de 2 cajoneras de 5 cajones, 1 área de colgador para largos y dos áreas de colgadores dobles de altura estándar de 210 cms de altura y jaladeras en modelos a escoger.",  ," $67,266.08 "
1,CRP-B3-R2-CL-V3,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-B3-ES-EL-V3,Suministro e instalación de escritorio y librero en recámara FLEX/ESTUDIO en melamina en colores a escoger en grosor de 4cms de espesor con cubierta de cuarzo o vidrio.,  ," $69,825.00 "
1,CRP-B3-AC-TV2-V3,"Suministro e instalación de centro de entretenimiento en área flex o área común en melamina en color a escoger de 15mm de grosor, con cubierta de cuarzo o vidrio.",  ," $70,889.00 "
1,CRP-C-CC-CC-MZ,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240cms, en modelo de escuadra, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo tipo Calacatta con recubrimiento en muro o semi muro y grapa en isla y la isla es más ancha porque van blanquitos. Linea y Herrajes Blum Metabox + Tira led bajo alacenas supreiores",  ," $331,870.27 "
1,CRP-C-VV-VV-MZ,Suministro e instalación de vestidor principal en melamina en colores a escoger de 16mm de grosor  con cantos de pvc y herrajes de cierre normal. Incluye 2 cajoneras de 4 cajones con 2 entrepaños  en ancho de 80 cms y altura de 210 cms. 2 áreas de colgadores dobles con un entrepaño. Linea y Herrajes Blum Metabox ,  ," $95,399.58 "
1,CRP-C-R2-CL-MZ,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $78,065.25 "
1,CRP-C-R3-CL-MZ,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $74,222.68 "
1,CRP-C-AC-TV1-MZ,Suministro e instalación de mueble para TV bajo  en área flex o área común en melamina en color a escoger,  ," $58,236.96 "
1,CRP-C-CC-CC-V3,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240cms, en modelo de escuadra, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo tipo Calacatta con recubrimiento en muro o semi muro y grapa en isla y la isla es más ancha porque van blanquitos.",  ," $260,680.00 "
1,CRP-C-VV-VV-V3,Suministro e instalación de vestidor principal en melamina en colores a escoger de 16mm de grosor  con cantos de pvc y herrajes de cierre normal. Incluye 2 cajoneras de 4 cajones con 2 entrepaños  en ancho de 80 cms y altura de 210 cms. 2 áreas de colgadores dobles con un entrepaño.,  ," $55,860.00 "
1,CRP-C-R2-CL-V3,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-C-R3-CL-V3,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-C-AC-TV2-V3,"Suministro e instalación de centro de entretenimiento en área flex o área común en melamina en color a escoger de 15mm de grosor, con cubierta de cuarzo o vidrio.",  ," $70,889.00 "
3,TRAB-A-cable-AE,Suministro e instalación de cable uso rudo 3x10 marca indiana. (8 metros lineales),  ," $3,022.22 "
3,TRAB-A-utermica-AE,Suministro e instalación de unidad térmica 2x20 b ticino. (Por unidad)," $1,160.41 "," $4,641.62 "
3,TRAB-A-linea-AE,Suministro e instalación de línea neutra para centro de lavado y parrilla eléctrica abrir hueco en plafón.,  ," $2,223.00 "
3,TRAB-B1-cable-AE,Suministro e instalación de cable uso rudo 3x10 marca indiana. (8 metros lineales),  ," $3,022.22 "
3,TRAB-B1-utermica-AE,Suministro e instalación de unidad térmica 2x20 b ticino. (Por unidad)," $1,160.41 "," $4,641.62 "
3,TRAB-B1-linea-AE,Suministro e instalación de línea neutra para centro de lavado y parrilla eléctrica abrir hueco en plafón.,  ," $2,223.00 "
3,TRAB-B2a-cable-AE,Suministro e instalación de cable uso rudo 3x10 marca indiana. (8 metros lineales),  ," $3,022.22 "
3,TRAB-B2a-utermica-AE,Suministro e instalación de unidad térmica 2x20 b ticino. (Por unidad)," $1,160.41 "," $4,641.62 "
